       lambda          SN_2796        SN_2803
       8263.0400         8264.1400       0.260637       0.546919
       8263.3100         8264.4200       0.493118       0.215397
       8263.5900         8264.6900       0.540288       0.245097
       8263.8700         8264.9700       0.704762       0.352446
       8264.1400         8265.2400       0.820959       0.990325
       8264.4200         8265.5200        1.28924        1.40151
       8264.6900         8265.8000        1.56814        1.60665
       8264.9700         8266.0700        1.39142        1.65232
       8265.2400         8266.3500        1.00290        2.06065
       8265.5200         8266.6200       0.714930        1.84453
       8265.8000         8266.9000       0.546209        1.77553
       8266.0700         8267.1700       0.417312        1.20360
       8266.3500         8267.4500       0.457462       0.920068
       8266.6200         8267.7300       0.419886       0.671793
       8266.9000         8268.0000       0.330840       0.689728
       8267.1700         8268.2800       0.239088       0.385223
       8267.4500         8268.5500      0.0250358       0.706376
       8267.7300         8268.8300       0.525983        1.00012
       8268.0000         8269.1000       0.799303        1.59501
       8268.2800         8269.3800        1.30542        1.84329
       8268.5500         8269.6600        1.58293        1.53716
       8268.8300         8269.9300        1.85772        1.18011
       8269.1000         8270.2100        1.83932       0.999201
       8269.3800         8270.4800        1.86490       0.789939
       8269.6600         8270.7600        1.75287       0.628516
       8269.9300         8271.0400        1.89435       0.630934
       8270.2100         8271.3100        2.09646       0.552424
       8270.4800         8271.5900        2.33840       0.337051
       8270.7600         8271.8600        2.71191       0.439774
       8271.0400         8272.1400        3.41809      0.0450868
       8271.3100         8272.4200        3.28041       0.282557
       8271.5900         8272.6900        2.90864       0.877212
       8271.8600         8272.9700        2.53738       0.612160
       8272.1400         8273.2400        2.41026       0.369650
       8272.4200         8273.5200        1.84318       0.384763
       8272.6900         8273.7900        1.51587       0.380737
       8272.9700         8274.0700        1.30695       0.246868
       8273.2400         8274.3500        1.45049       0.498543
       8273.5200         8274.6200        1.43932      -0.184432
       8273.7900         8274.9000        1.17492      -0.170693
       8274.0700         8275.1700        1.09852       0.252184
       8274.3500         8275.4500        1.07289       0.489996
       8274.6200         8275.7300       0.483537       0.775656
       8274.9000         8276.0000      0.0824448        1.20714
       8275.1700         8276.2800       0.746251        1.14481
       8275.4500         8276.5600        2.19882       0.667610
       8275.7300         8276.8300        3.75976       0.192425
       8276.0000         8277.1100        5.22323       0.666488
       8276.2800         8277.3800        5.54356       0.818936
       8276.5600         8277.6600        5.25800       0.696682
       8276.8300         8277.9400        4.18413       0.680910
       8277.1100         8278.2100        2.59144       0.730534
       8277.3800         8278.4900        1.49372       0.121492
