       lambda          SN_2796        SN_2803
       8493.5800         8495.8500        10.9030      -0.484044
       8493.8700         8496.1300        4.56592      -0.407675
       8494.1500         8496.4200     -0.0255590      -0.320729
       8494.4300         8496.7000       -3.37172      -0.428850
       8494.7200         8496.9800       -5.80574      -0.234248
       8495.0000         8497.2700       -6.83489      -0.428303
       8495.2800         8497.5500       -7.15583      -0.279121
       8495.5700         8497.8300       -7.22972     -0.0526437
       8495.8500         8498.1200       -7.35596      0.0452123
       8496.1300         8498.4000       -7.92705       0.104694
       8496.4200         8498.6800       -8.24585      0.0712954
       8496.7000         8498.9700       -8.95654       0.300511
       8496.9800         8499.2500       -9.28932       0.280506
       8497.2700         8499.5400       -9.61199       0.202810
       8497.5500         8499.8200       -9.79121       0.223697
       8497.8300         8500.1000       -9.87245      -0.240333
       8498.1200         8500.3900       -9.71563      -0.373440
       8498.4000         8500.6700       -9.03120      -0.488798
       8498.6800         8500.9500       -7.87966      -0.486845
       8498.9700         8501.2400       -7.00368      -0.397222
       8499.2500         8501.5200       -5.42254      -0.486227
       8499.5400         8501.8000       -3.94870      -0.342789
       8499.8200         8502.0900       -2.18448      -0.436127
       8500.1000         8502.3700      -0.620826      -0.361783
       8500.3900         8502.6500        1.12402      0.0433514
       8500.6700         8502.9400        2.95535       0.253923
       8500.9500         8503.2200        4.70353       0.524210
       8501.2400         8503.5000        6.68205       0.663814
       8501.5200         8503.7900        8.87404        1.07849
       8501.8000         8504.0700        9.97855        1.61203
       8502.0900         8504.3600        9.49304        2.03242
       8502.3700         8504.6400        8.39702        2.42013
       8502.6500         8504.9200        7.08444        2.58983
       8502.9400         8505.2100        5.90145        2.39210
       8503.2200         8505.4900        4.15246        2.25821
       8503.5000         8505.7700        2.07494        2.01781
       8503.7900         8506.0600      -0.204423        1.76124
       8504.0700         8506.3400       -2.52977        1.34038
       8504.3600         8506.6300       -3.60351       0.765444
       8504.6400         8506.9100       -3.98339       0.442454
       8504.9200         8507.1900       -4.17518       0.253162
       8505.2100         8507.4800       -4.45790      0.0683269
       8505.4900         8507.7600       -4.58710      0.0907183
       8505.7700         8508.0400       -4.46167      -0.164886
       8506.0600         8508.3300       -4.30284      -0.221131
       8506.3400         8508.6100       -4.25182      -0.117115
       8506.6300         8508.9000       -4.20278      -0.110510
       8506.9100         8509.1800       -4.58351     -0.0764013
       8507.1900         8509.4600       -4.83017      -0.169985
       8507.4800         8509.7500       -5.08158      -0.480573
       8507.7600         8510.0300       -4.62954      -0.381184
       8508.0400         8510.3200       -4.27094      -0.442889
       8508.3300         8510.6000       -4.04552      -0.161037
       8508.6100         8510.8800       -3.68178     0.00332414
