sol        lambda      ew          ew_err         v            v_err       s3           s5
S0927      9313.58     0.566770    0.0886538      39.9087      17.8477     0.947537     0.947537
S0927      16024.3     0.128498    0.0382167      20.5781      11.8808     0.221255      0.00000
U0148      10392.1      2.97285     0.108229      121.113      33.5907     0.954000     0.954000
U0148      14254.8     0.268328    0.0680316      29.4405      14.7202     0.910215     0.845200
U0148      17996.6     0.460532    0.0897737      39.9745      17.8772     0.802853     0.802853
S1306      9010.14     0.229037    0.0302360      29.9425      14.9713     0.951433     0.951433
S1306      9131.47      8.22522    0.0946319      409.864      62.5037     0.954000     0.954000
S1306      13330.9     0.580880    0.0528446      49.4666      20.1947     0.953822     0.953822
S1306      16395.7      12.3437     0.224318      270.597      49.4041     0.954000     0.954000
U1319      8738.72     0.189996    0.0169708      39.7899      17.7946     0.953848     0.953848
U1319      9563.54    0.0879531    0.0288676      30.0905      15.0453     0.587461     0.185514
U1319      13318.9     0.336263    0.0460359      38.2601      17.1104     0.950829     0.865933
U1319      14510.0     0.857768     0.129986      109.464      31.5995     0.948497     0.948497
U1319      14616.9     0.148483    0.0683752      28.7112      14.3556     0.556513     0.333908
U1319      17835.9     0.128939    0.0538911      20.1687      11.6444     0.662769     0.461057
U1319      18057.4     0.327064    0.0899638      29.8810      14.9405     0.705788     0.417056
