sol,z,ew,s3,s5
S0927,2.09167,0.193249,0.897214,0.897214
S0927,2.31603,0.0677867,0.401882,0.184196
S0927,2.34879,0.269365,0.897523,0.586842
S0927,2.39853,0.0551553,0.278955,0.116231
S0927,2.41402,0.0711551,0.439502,0.219751
S0927,2.57905,0.500068,0.758835,0.310433
S0927,2.82038,0.310539,0.932187,0.794085
S0927,2.90453,0.0928228,0.19681,0.164008
S0927,3.01233,0.252691,0.637843,0.171129
S0927,3.70237,0.108169,0.421074,0.0971709
S0927,4.26324,0.121271,0.212414,0.163396
S0927,4.60564,0.129935,0.551165,0.482269
S0927,4.74033,0.0269587,0.124633,0
S0927,4.99166,0.0296533,0,0
S0927,5.12161,0.0219619,0.0116956,0
S0927,5.19536,0.0705046,0.0986382,0.0986382
S0927,5.38094,0.0893308,0.325814,0.293233
S0927,5.42625,0.121904,0.371972,0.340974
S0927,5.44117,0.236954,0.0796664,0
S0927,5.46939,0.106081,0.42741,0.117906
S0927,5.49081,0.093182,0.232678,0
U0148,2.39557,0.117544,0.776931,0.621545
U0148,2.47762,2.55635,0.967,0.967
U0148,2.72177,1.63679,0.967,0.967
U0148,3.01823,2.08177,0.967,0.967
U0148,3.05164,0.433974,0.928106,0.928106
U0148,3.69207,0.0770519,0.550776,0.378659
U0148,4.45996,0.389528,0.967,0.967
U0148,4.89031,1.48196,0.932464,0.932464
U0148,5.46914,0.0460318,0.484555,0.306885
S1306,2.23758,0.183109,0.431584,0.41432
S1306,2.37776,0.446224,0.966999,0.966999
S1306,2.52974,3.50784,0.967,0.967
S1306,2.54463,0.100314,0.185164,0.185164
S1306,3.48939,0.563193,0.96696,0.96696
S1306,4.13988,0.549988,0.946063,0.743335
S1306,4.61458,0.734735,0.960236,0.960236
S1306,4.86294,3.18642,0.967,0.967
S1306,4.87902,3.65535,0.967,0.967
U1319,2.26763,0.0784544,0.706457,0.379074
U1319,2.30368,0.298409,0.967,0.967
U1319,2.40975,0.415628,0.966923,0.966923
U1319,3.28182,0.353093,0.735289,0.635022
U1319,3.74477,0.0571035,0.285287,0.207482
U1319,4.12256,0.26892,0.349774,0.12345
U1319,4.21618,0.22266,0.552388,0.552388
U1319,4.56845,0.254711,0.876713,0.765131
U1319,4.66297,0.309182,0.642444,0.610921
U1319,5.37478,0.0829005,0.421047,0.259106
U1319,5.44109,0.156217,0.362029,0
U1319,5.92512,0.287931,0.0628421,0
