lowz,highz,ewlow,ewhigh,dz,dx,N,Nrec,Ncomp,N_fp,Nrec_fp,Ncomp_fp,fp,fp_rec,fp_comp,dndz,dndz_rec,dndz_comp,dndz_fp,dndz_rec_fp,dndz_comp_fp
2,3,0,0.3,4,13.12,5,8.36,10.34,3,4.86,5.25,0.4,0.41,0.49,1.25,2.09,2.58,0.5,0.85,1.26
3,4,0,0.3,4,15.08,2,4.5,7.67,0,0,0,1,1,1,0.5,1.12,1.91,0.5,1.12,1.91
4,5.45,0,0.3,5.8,24.8,3,6.92,21.93,3,6.65,7.57,0,0.03,0.65,0.51,1.19,3.78,0,0.03,2.45
2,5.45,0,0.3,13.8,53.04,10,19.46,34.35,6,12.48,14.9,0.4,0.35,0.56,0.72,1.41,2.48,0.28,0.49,1.39
2,3,0.3,0.6,4,13.12,4,4.88,5.03,1,1.16,1.16,0.75,0.76,0.76,1,1.22,1.25,0.75,0.92,0.95
3,4,0.3,0.6,4,15.08,3,3.6,3.81,2,2.34,2.41,0.33,0.35,0.36,0.75,0.9,0.95,0.24,0.31,0.34
4,5.45,0.3,0.6,5.8,24.8,3,3.22,3.62,1,1,1,0.66,0.68,0.72,0.51,0.55,0.62,0.34,0.37,0.44
2,5.45,0.3,0.6,13.8,53.04,10,11.62,12.62,4,4.42,4.48,0.6,0.61,0.64,0.72,0.84,0.91,0.43,0.51,0.58
2,3,0.6,1,13.8,53.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,4,0.6,1,13.8,53.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,5.45,0.6,1,5.8,24.8,1,1.04,1.04,1,1,1,0,0.03,0.03,0.17,0.17,0.17,0,0,0
2,5.45,0.6,1,13.8,53.04,1,1.06,1.07,1,1.05,1.06,0,0,0,0.07,0.07,0.07,0,0,0
2,3,1,120,4,13.12,3,3.29,3.32,2,2.19,2.2,0.33,0.33,0.33,0.75,0.82,0.83,0.24,0.27,0.27
3,4,1,120,4,15.08,1,1.02,1.05,0,0,0,1,1,1,0.25,0.25,0.26,0.25,0.25,0.26
4,5.45,1,120,5.8,24.8,3,3,3,1,1,1,0.66,0.66,0.66,0.51,0.51,0.51,0.34,0.34,0.34
2,5.45,1,120,13.8,53.04,7,7.21,7.3,3,3.08,3.1,0.57,0.57,0.57,0.5,0.52,0.52,0.28,0.29,0.3
2,3,0,1,4,13.12,9,12.96,14.51,4,5.91,6.22,0.55,0.54,0.57,2.25,3.24,3.62,1.23,1.74,2.06
3,4,0,1,4,15.08,5,7.36,8.62,2,2.34,2.41,0.6,0.68,0.72,1.25,1.84,2.15,0.75,1.25,1.55
4,5.45,0,1,5.8,24.8,7,9.68,12.61,5,7.49,7.89,0.28,0.22,0.37,1.2,1.66,2.17,0.33,0.36,0.8
2,5.45,0,1,13.8,53.04,21,30.05,37.44,11,16.26,17.47,0.47,0.45,0.53,1.52,2.17,2.71,0.71,0.97,1.43
2,3,0.3,1,4,13.12,4,4.88,5.03,1,1.16,1.16,0.75,0.76,0.76,1,1.22,1.25,0.75,0.92,0.95
3,4,0.3,1,4,15.08,3,3.6,3.81,2,2.34,2.41,0.33,0.35,0.36,0.75,0.9,0.95,0.24,0.31,0.34
4,5.45,0.3,1,5.8,24.8,4,4.27,4.65,2,2,2.01,0.5,0.53,0.56,0.68,0.73,0.8,0.34,0.39,0.44
2,5.45,0.3,1,13.8,53.04,11,12.67,13.67,5,5.48,5.54,0.54,0.56,0.59,0.79,0.91,0.99,0.43,0.51,0.58
2,3,0,120,4,13.12,12,16.07,17.4,6,7.96,8.23,0.5,0.5,0.52,3,4.01,4.34,1.5,2,2.26
3,4,0,120,4,15.08,6,8.24,9.38,2,2.34,2.41,0.66,0.71,0.74,1.5,2.06,2.34,0.99,1.46,1.73
4,5.45,0,120,5.8,24.8,10,12.45,14.57,6,8.3,8.64,0.4,0.33,0.4,1.72,2.14,2.51,0.68,0.7,1
2,5.45,0,120,13.8,53.04,28,36.62,42.54,14,18.94,19.96,0.5,0.48,0.53,2.02,2.65,3.08,1.01,1.27,1.63
