SOL,zbin_low,zbin_high,ew_bin_low,ew_bin_high,N,N3,dz3,N5,dz5,Nfalse,Nfalse3,dzfalse3,Nfalse5,dzfalse5
S0927,2,5.45,0,0.23,14,2,6.9,1,3.45,1,0,0,0,0
U0148,2,5.45,0,0.23,2,2,6.9,1,3.45,1,0,0,0,0
S1306,2,5.45,0,0.23,2,0,0,0,0,1,1,3.45,1,3.45
U1319,2,5.45,0,0.23,5,2,6.9,1,3.45,4,4,13.8,1,3.45
S0927,2,5.45,0.23,0.3,3,2,6.9,1,3.45,1,0,0,0,0
U0148,2,5.45,0.23,0.3,0,0,0,0,0,0,1,3.45,1,3.45
S1306,2,5.45,0.23,0.3,0,0,0,0,0,0,0,0,0,0
U1319,2,5.45,0.23,0.3,3,2,6.9,2,6.9,1,0,0,0,0
S0927,2,5.45,0.3,0.5,1,1,3.45,1,3.45,1,0,0,0,0
U0148,2,5.45,0.3,0.5,2,2,6.9,2,6.9,1,1,3.45,1,3.45
S1306,2,5.45,0.3,0.5,1,1,3.45,1,3.45,1,0,0,0,0
U1319,2,5.45,0.3,0.5,3,3,10.35,3,10.35,1,1,3.45,1,3.45
S0927,2,5.45,0.5,1,1,1,3.45,0,0,1,1,3.45,1,3.45
U0148,2,5.45,0.5,1,0,0,0,0,0,0,0,0,0,0
S1306,2,5.45,0.5,1,3,3,10.35,3,10.35,1,1,3.45,1,3.45
U1319,2,5.45,0.5,1,0,0,0,0,0,0,1,3.45,1,3.45
S0927,2,5.45,1,2,0,0,0,0,0,0,0,0,0,0
U0148,2,5.45,1,2,2,2,6.9,2,6.9,1,0,0,0,0
S1306,2,5.45,1,2,0,0,0,0,0,0,0,0,0,0
U1319,2,5.45,1,2,0,0,0,0,0,0,0,0,0,0
S0927,2,5.45,2,120,0,0,0,0,0,0,0,0,0,0
U0148,2,5.45,2,120,2,2,6.9,2,6.9,1,1,3.45,1,3.45
S1306,2,5.45,2,120,3,3,10.35,3,10.35,2,2,6.9,2,6.9
U1319,2,5.45,2,120,0,0,0,0,0,0,0,0,0,0
