SOL,zbin_low,zbin_high,ew_bin_low,ew_bin_high,lowN3,N3,highN3,lowN5,N5,highN5
S0927,2,3,0,0.3,3.28E+13,3.90E+13,5.49E+13,3.28E+13,3.90E+13,5.49E+13
U0148,2,3,0,0.3,2.92E+12,3.80E+12,4.52E+12,2.92E+12,3.80E+12,4.52E+12
S1306,2,3,0,0.3,0,0,0,0,0,0
U1319,2,3,0,0.3,1.35E+13,1.40E+13,2.02E+13,8.98E+12,1.14E+13,1.68E+13
S0927,2,3,0.3,0.6,3.61E+13,4.34E+13,5.16E+13,9.88E+12,1.22E+13,1.43E+13
U0148,2,3,0.3,0.6,0,0,0,0,0,0
S1306,2,3,0.3,0.6,2.03E+13,2.63E+13,3.10E+13,2.03E+13,2.63E+13,3.10E+13
U1319,2,3,0.3,0.6,8.22E+12,1.15E+13,1.41E+13,8.22E+12,1.15E+13,1.41E+13
S0927,2,3,0.6,1,0,0,0,0,0,0
U0148,2,3,0.6,1,0,0,0,0,0,0
S1306,2,3,0.6,1,0,0,0,0,0,0
U1319,2,3,0.6,1,0,0,0,0,0,0
S0927,2,3,1,120,0,0,0,0,0,0
U0148,2,3,1,120,5.19E+14,6.21E+14,2.88E+15,5.19E+14,6.21E+14,2.88E+15
S1306,2,3,1,120,6.19E+14,8.00E+14,8.81E+14,6.19E+14,8.00E+14,8.81E+14
U1319,2,3,1,120,0,0,0,0,0,0
S0927,2,3,0,1,6.90E+13,8.25E+13,1.07E+14,4.27E+13,5.12E+13,6.92E+13
U0148,2,3,0,1,2.92E+12,3.80E+12,4.52E+12,2.92E+12,3.80E+12,4.52E+12
S1306,2,3,0,1,2.03E+13,2.63E+13,3.10E+13,2.03E+13,2.63E+13,3.10E+13
U1319,2,3,0,1,2.18E+13,2.55E+13,3.43E+13,1.72E+13,2.29E+13,3.09E+13
S0927,2,3,0.3,1,3.61E+13,4.34E+13,5.16E+13,9.88E+12,1.22E+13,1.43E+13
U0148,2,3,0.3,1,0,0,0,0,0,0
S1306,2,3,0.3,1,2.03E+13,2.63E+13,3.10E+13,2.03E+13,2.63E+13,3.10E+13
U1319,2,3,0.3,1,8.22E+12,1.15E+13,1.41E+13,8.22E+12,1.15E+13,1.41E+13
S0927,2,3,0,120,6.90E+13,8.25E+13,1.07E+14,4.27E+13,5.12E+13,6.92E+13
U0148,2,3,0,120,5.22E+14,6.25E+14,2.89E+15,5.22E+14,6.25E+14,2.89E+15
S1306,2,3,0,120,6.39E+14,8.27E+14,9.12E+14,6.39E+14,8.27E+14,9.12E+14
U1319,2,3,0,120,2.18E+13,2.55E+13,3.43E+13,1.72E+13,2.29E+13,3.09E+13
S0927,3,4,0,0.3,5.38E+12,7.34E+12,9.27E+12,0,0,0
U0148,3,4,0,0.3,1.13E+12,1.84E+12,3.77E+12,0,0,0
S1306,3,4,0,0.3,0,0,0,0,0,0
U1319,3,4,0,0.3,0,0,0,0,0,0
S0927,3,4,0.3,0.6,0,0,0,0,0,0
U0148,3,4,0.3,0.6,9.06E+13,3.31E+14,3.67E+14,9.06E+13,3.31E+14,3.67E+14
S1306,3,4,0.3,0.6,3.28E+14,5.31E+14,9.85E+14,3.28E+14,5.31E+14,9.85E+14
U1319,3,4,0.3,0.6,2.45E+13,3.49E+13,4.35E+13,2.45E+13,3.49E+13,4.35E+13
S0927,3,4,0.6,1,0,0,0,0,0,0
U0148,3,4,0.6,1,0,0,0,0,0,0
S1306,3,4,0.6,1,0,0,0,0,0,0
U1319,3,4,0.6,1,0,0,0,0,0,0
S0927,3,4,1,120,0,0,0,0,0,0
U0148,3,4,1,120,1.64E+14,2.01E+14,1.43E+15,1.64E+14,2.01E+14,1.43E+15
S1306,3,4,1,120,0,0,0,0,0,0
U1319,3,4,1,120,0,0,0,0,0,0
S0927,3,4,0,1,5.38E+12,7.34E+12,9.27E+12,0,0,0
U0148,3,4,0,1,9.18E+13,3.33E+14,3.71E+14,9.06E+13,3.31E+14,3.67E+14
S1306,3,4,0,1,3.28E+14,5.31E+14,9.85E+14,3.28E+14,5.31E+14,9.85E+14
U1319,3,4,0,1,2.45E+13,3.49E+13,4.35E+13,2.45E+13,3.49E+13,4.35E+13
S0927,3,4,0.3,1,0,0,0,0,0,0
U0148,3,4,0.3,1,9.06E+13,3.31E+14,3.67E+14,9.06E+13,3.31E+14,3.67E+14
S1306,3,4,0.3,1,3.28E+14,5.31E+14,9.85E+14,3.28E+14,5.31E+14,9.85E+14
U1319,3,4,0.3,1,2.45E+13,3.49E+13,4.35E+13,2.45E+13,3.49E+13,4.35E+13
S0927,3,4,0,120,5.38E+12,7.34E+12,9.27E+12,0,0,0
U0148,3,4,0,120,2.55E+14,5.34E+14,1.80E+15,2.54E+14,5.32E+14,1.80E+15
S1306,3,4,0,120,3.28E+14,5.31E+14,9.85E+14,3.28E+14,5.31E+14,9.85E+14
U1319,3,4,0,120,2.45E+13,3.49E+13,4.35E+13,2.45E+13,3.49E+13,4.35E+13
S0927,4,5.45,0,0.3,2.63E+12,3.74E+12,4.86E+12,0,0,0
U0148,4,5.45,0,0.3,0,0,0,0,0,0
S1306,4,5.45,0,0.3,0,0,0,0,0,0
