zbin_low,zbin_high,ew_bin_low,ew_bin_high,dz,dx,N,Nrec,Ncomp,fN,fNrec,fNcomp,fp_disc,fp_rec,fp_com
2,3,0,0.3,4,13.1232,5,8.365,10.349,3,4.864,5.251,0.4,0.4185,0.4926
3,4,0,0.3,4,15.0932,2,4.502,7.6729,0,0,0,1,1,1
4,5.45,0,0.3,5.8,24.8372,3,6.928,21.936,3,6.658,7.573,0,0.0389,0.6547
2,5.45,0,0.3,13.8,53.0536,10,19.467,34.356,6,12.485,14.905,0.4,0.3586,0.5661
2,3,0.3,0.6,4,13.1232,4,4.8889,5.034,1,1.162,1.162,0.75,0.7623,0.7691
3,4,0.3,0.6,4,15.0932,3,3.6,3.81,2,2.345,2.413,0.3333,0.3486,0.3666
4,5.45,0.3,0.6,5.8,24.8372,3,3.2289,3.626,1,1.0009,1.008,0.6666,0.69,0.722
2,5.45,0.3,0.6,13.8,53.0536,10,11.6209,12.622,4,4.4269,4.48,0.6,0.619,0.645
2,3,0.6,1,13.8,53.0536,0,0,0,0,0,0,0,0,0
3,4,0.6,1,13.8,53.0536,0,0,0,0,0,0,0,0,0
4,5.45,0.6,1,5.8,24.8372,1,1.041,1.041,1,1.006,1.006,0,0.0336,0.0336
2,5.45,0.6,1,13.8,53.0536,1,1.061,1.074,1,1.058,1.064,0,0.0028,0.0093
2,3,1,120,4,13.1232,3,3.296,3.321,2,2.197,2.209,0.3333,0.3334,0.3348
3,4,1,120,4,15.0932,1,1.02,1.052,0,0,0,1,1,1
4,5.45,1,120,5.8,24.8372,3,3,3,1,1,1,0.6666,0.6666,0.6666
2,5.45,1,120,13.8,53.0536,7,7.212,7.305,3,3.086,3.101,0.5714,0.5721,0.5754
2,3,0,1,4,13.1232,9,12.967,14.512,4,5.912,6.227,0.5555,0.544,0.5709
3,4,0,1,4,15.0932,5,7.363,8.627,2,2.345,2.413,0.6,0.6815,0.7202
4,5.45,0,1,5.8,24.8372,7,9.685,12.613,5,7.495,7.897,0.2857,0.2261,0.3738
2,5.45,0,1,13.8,53.0536,21,30.057,37.448,11,16.269,17.4779,0.4761,0.4587,0.5332
2,3,0.3,1,4,13.1232,4,4.8889,5.034,1,1.162,1.162,0.75,0.7623,0.7691
3,4,0.3,1,4,15.0932,3,3.6,3.81,2,2.345,2.413,0.3333,0.3486,0.3666
4,5.45,0.3,1,5.8,24.8372,4,4.271,4.65,2,2.008,2.015,0.5,0.5298,0.5666
2,5.45,0.3,1,13.8,53.0536,11,12.6779,13.674,5,5.484,5.5429,0.5454,0.5674,0.5946
2,3,0,120,4,13.1232,12,16.078,17.409,6,7.9629,8.23,0.5,0.5047,0.5272
3,4,0,120,4,15.0932,6,8.249,9.382,2,2.345,2.413,0.6666,0.7157,0.7428
4,5.45,0,120,5.8,24.8372,10,12.4509,14.579,6,8.308,8.646,0.4,0.3327,0.4069
2,5.45,0,120,13.8,53.0536,28,36.628,42.5439,14,18.948,19.968,0.5,0.4826,0.5306
2,3,0,0.23,4,13.1232,3,6.232,9.225,3,4.864,5.251,0,0.2195,0.4307
3,4,0,0.23,4,15.0932,1,4.382,50.023,0,0,0,1,1,1
4,5.45,0,0.23,5.8,24.8372,2,6.592,27.735,2,10.571,18.739,0,-0.6037,0.3243
2,5.45,0,0.23,13.8,53.0536,6,15.468,36.483,5,12.545,16.323,0.1666,0.1889,0.5525
2,3,0.23,0.3,4,13.1232,2,2.602,2.799,0,0,0,1,1,1
3,4,0.23,0.3,4,15.0932,1,1.5319,2.0259,0,0,0,1,1,1
4,5.45,0.23,0.3,5.8,24.8372,1,1.4569,3.782,1,1.041,1.041,0,0.2854,0.7247
2,5.45,0.23,0.3,13.8,53.0536,4,5.734,8.3929,1,1.129,1.1399,0.75,0.8031,0.8641
