lowz,highz,ewlow,ewhigh,localN5,dndz,recN5,rec5,rec_dndz,compN5,comp5,comp_dndz
2,3,0,0.3,2,0.5,3.925,0.509,0.981,4.081,0.49,1.02
3,4,0,0.3,0,0,0,0,0,0,0,0
4,5.45,0,0.3,1,0.172,1.068,0.936,0.184,1.076,0.928,0.185
2,5.45,0,0.3,3,0.217,7.216,0.415,0.522,7.438,0.403,0.539
2,3,0.3,0.6,1,0.25,1.204,0.83,0.301,1.204,0.83,0.301
3,4,0.3,0.6,2,0.5,2.774,0.72,0.693,2.793,0.715,0.698
4,5.45,0.3,0.6,1,0.172,1.015,0.984,0.175,1.029,0.971,0.177
2,5.45,0.3,0.6,4,0.289,4.865,0.822,0.352,4.976,0.803,0.36
2,3,0.6,1,0,0,0,0,0,0,0,0
3,4,0.6,1,0,0,0,0,0,0,0,0
4,5.45,0.6,1,1,0.172,1.006,0.993,0.173,1.021,0.979,0.176
2,5.45,0.6,1,1,0.072,1.084,0.921,0.078,1.091,0.915,0.079
2,3,1,120,2,0.5,2.234,0.894,0.558,2.247,0.889,0.561
3,4,1,120,0,0,0,0,0,0,0,0
4,5.45,1,120,1,0.172,1.006,0.993,0.173,1.006,0.993,0.173
2,5.45,1,120,3,0.217,3.158,0.949,0.228,3.178,0.943,0.23
2,3,0,1,3,0.75,4.875,0.615,1.218,4.98,0.602,1.245
3,4,0,1,2,0.5,2.774,0.72,0.693,2.793,0.715,0.698
4,5.45,0,1,3,0.517,3.09,0.97,0.532,3.127,0.959,0.539
2,5.45,0,1,8,0.579,11.734,0.681,0.85,11.99,0.667,0.868
2,3,0.3,1,1,0.25,1.204,0.83,0.301,1.204,0.83,0.301
3,4,0.3,1,2,0.5,2.774,0.72,0.693,2.793,0.715,0.698
4,5.45,0.3,1,2,0.344,2.022,0.989,0.348,2.05,0.975,0.353
2,5.45,0.3,1,5,0.362,5.939,0.841,0.43,6.053,0.825,0.438
2,3,0,120,5,1.25,6.882,0.726,1.72,6.975,0.716,1.743
3,4,0,120,2,0.5,2.774,0.72,0.693,2.793,0.715,0.698
4,5.45,0,120,4,0.689,4.097,0.976,0.706,4.134,0.967,0.712
2,5.45,0,120,11,0.797,14.582,0.754,1.056,14.821,0.742,1.074
2,3,0,0.23,2,0.5,3.925,0.509,0.981,4.081,0.49,1.02
3,4,0,0.23,0,0,0,0,0,0,0,0
4,5.45,0,0.23,0,0,0,0,0,0,0,0
2,5.45,0,0.23,2,0.144,10.182,0.196,0.737,10.901,0.183,0.789
2,3,0.23,0.3,0,0,0,0,0,0,0,0
3,4,0.23,0.3,0,0,0,0,0,0,0,0
4,5.45,0.23,0.3,1,0.172,1.068,0.936,0.184,1.076,0.928,0.185
2,5.45,0.23,0.3,1,0.072,1.18,0.847,0.085,1.196,0.835,0.086
