lowz,highz,ewlow,ewhigh,localN5,dndz,recN5,rec5,rec_dndz,compN5,comp5,comp_dndz
2,3,0,0.3,4,1,8.398,0.476,2.099,9.483,0.421,2.37
3,4,0,0.3,0,0,0,0,0,0,0,0
4,5.45,0,0.3,2,0.344,13.333,0.15,2.298,16.13,0.12,2.781
2,5.45,0,0.3,6,0.434,22.147,0.27,1.604,30.186,0.198,2.187
2,3,0.3,0.6,3,0.75,4.111,0.729,1.027,4.274,0.701,1.068
3,4,0.3,0.6,3,0.75,4.097,0.732,1.024,4.297,0.698,1.074
4,5.45,0.3,0.6,3,0.517,3.944,0.76,0.68,4.435,0.676,0.764
2,5.45,0.3,0.6,9,0.652,12.22,0.736,0.885,13.274,0.677,0.961
2,3,0.6,1,0,0,0,0,0,0,0,0
3,4,0.6,1,0,0,0,0,0,0,0,0
4,5.45,0.6,1,1,0.172,1.053,0.949,0.181,1.076,0.929,0.185
2,5.45,0.6,1,1,0.072,1.105,0.904,0.08,1.134,0.881,0.082
2,3,1,120,3,0.75,3.333,0.899,0.833,3.37,0.889,0.842
3,4,1,120,1,0.25,1.052,0.949,0.263,1.063,0.939,0.265
4,5.45,1,120,3,0.517,3.013,0.995,0.519,3.02,0.993,0.52
2,5.45,1,120,7,0.507,7.343,0.953,0.532,7.42,0.943,0.537
2,3,0,1,7,1.75,11.992,0.583,2.998,12.946,0.54,3.236
3,4,0,1,3,0.75,4.097,0.732,1.024,4.297,0.698,1.074
4,5.45,0,1,6,1.034,10.571,0.567,1.822,11.91,0.503,2.053
2,5.45,0,1,16,1.159,27.95,0.572,2.025,31.294,0.511,2.267
2,3,0.3,1,3,0.75,4.111,0.729,1.027,4.274,0.701,1.068
3,4,0.3,1,3,0.75,4.097,0.732,1.024,4.297,0.698,1.074
4,5.45,0.3,1,4,0.689,4.954,0.807,0.854,5.409,0.739,0.932
2,5.45,0.3,1,10,0.724,13.284,0.752,0.962,14.329,0.697,1.038
2,3,0,120,10,2.5,14.779,0.676,3.694,15.533,0.643,3.883
3,4,0,120,4,1,5.096,0.784,1.274,5.285,0.756,1.321
4,5.45,0,120,9,1.551,12.718,0.707,2.192,13.54,0.664,2.334
2,5.45,0,120,23,1.666,33.51,0.686,2.428,35.874,0.641,2.599
2,3,0,0.23,2,0.5,5.534,0.361,1.383,6.916,0.289,1.729
3,4,0,0.23,0,0,0,0,0,0,0,0
4,5.45,0,0.23,1,0.172,18.16,0.055,3.131,145.065,0.006,25.011
2,5.45,0,0.23,3,0.217,17.599,0.17,1.275,25.004,0.119,1.811
2,3,0.23,0.3,2,0.5,3.388,0.59,0.847,3.615,0.553,0.903
3,4,0.23,0.3,0,0,0,0,0,0,0,0
4,5.45,0.23,0.3,1,0.172,10.4,0.096,1.793,29.055,0.034,5.009
2,5.45,0.23,0.3,3,0.217,8.103,0.37,0.587,10.836,0.276,0.785
