system,comp,sol,element,rest_l,z,z_err,c_d,cd_low,cd_high,b,mb_low,b_high,ew_flux,ew_vp,ew_er,s3,s5
1,a,S0927,MgII,2796.3543,2.09167,3.67E-05,12.5215,12.2799,12.7413,33.8629,25.0505,47.9477,0.128091,0.118492,0.00966228,0.897,0.897
1,a,S0927,MgII,2803.5315,2.09167,3.67E-05,12.5215,12.2799,12.7413,33.8629,25.0505,47.9477,0.0544035,0.0599663,0.0138366,0.897,0.897
1,b,S0927,MgII,2796.3543,2.0923,1.68E-05,12.4949,12.4195,12.5914,4.38107,2.99028,4.45838,0.0897564,0.0747574,0.00618788,0.897,0.897
1,b,S0927,MgII,2803.5315,2.0923,1.68E-05,12.4949,12.4195,12.5914,4.38107,2.99028,4.45838,0.0559837,0.0483197,0.00661402,0.897,0.897
2,a,S0927,MgII,2796.3543,2.31603,4.00E-05,12.2713,11.9225,12.5416,23.7079,13.1505,37.1622,0.0729112,0.0677867,0.00821259,0.402,0.184
2,a,S0927,MgII,2803.5315,2.31603,4.00E-05,12.2713,11.9225,12.5416,23.7079,13.1505,37.1622,0.0323436,0.0351537,0.0117056,0.402,0.184
3,a,S0927,MgII,2796.3543,2.34879,1.16E-05,13.4682,13.3936,13.6136,5.66204,5.18854,6.01919,0.186862,0.173833,0.0112588,0.897,0.587
3,a,S0927,MgII,2803.5315,2.34879,1.16E-05,13.4682,13.3936,13.6136,5.66204,5.18854,6.01919,0.165461,0.158065,0.0111813,0.897,0.587
3,b,S0927,MgII,2796.3543,2.34922,5.16E-05,12.506,12.5507,12.6428,9.18536,4.86853,12.3796,0.140288,0.095532,0.00963727,0.897,0.587
3,b,S0927,MgII,2803.5315,2.34922,5.16E-05,12.506,12.5507,12.6428,9.18536,4.86853,12.3796,0.114305,0.0556904,0.0222778,0.897,0.587
3,c,S0927,MgI,2852.9633,2.34933,5.84E-05,12.0619,11.9874,12.1756,14.1118,7.14836,25.7035,0.120012,0.111622,0.0287182,-99,-99
4,a,S0927,MgII,2796.3543,2.39853,5.05E-05,12.242,11.9193,12.4496,5.07331,2.34859,16.2903,0.0729138,0.0551553,0.0209019,0.279,0.116
