total_N_s3,s3_comp,total_N_s5,s5_comp
9.48E+12,1,9.48E+12,1
7.35E+12,1,7.35E+12,0.833333
2.26E+13,1,2.26E+13,1
1.58E+13,0.9,1.58E+13,0.7
7.35E+13,1,7.35E+13,1
4.71E+13,1,4.71E+13,1
1.68E+13,1,1.68E+13,1
3.93E+13,1,3.93E+13,1
2.10E+13,1,1.59E+13,1
1.03E+14,1,1.03E+14,1
1.98E+13,1,1.39E+13,0.9
1.78E+14,1,1.78E+14,1
1.89E+13,1,1.89E+13,0.983333
2.45E+13,1,2.45E+13,1
1.13E+13,0.85,1.13E+13,0.566667
5.49E+14,1,5.49E+14,1
1.60E+14,1,1.53E+14,1
1.49E+13,1,1.49E+13,0.962963
7.64E+12,0.816667,7.64E+12,0.566667
2.85E+13,1,2.85E+13,0.933333
1.10E+13,1,1.10E+13,0.75
1.73E+14,1,1.73E+14,1
1.15E+13,1,1.15E+13,0.9
1.76E+13,1,1.76E+13,1
5.93E+13,1,5.93E+13,1
3.16E+13,1,3.16E+13,0.95
7.54E+13,1,7.54E+13,1
2.16E+13,1,2.16E+13,1
1.49E+13,1,1.49E+13,1
1.31E+13,0.757576,7.22E+13,1
7.22E+13,1,3.28E+13,1
3.28E+13,1,0.00E+00,1
7.88E+12,0.766667,0.00E+00,1
