,4.33 < z < 5.19,5.19 < z < 6.13,,,,,
table a1,16,7,,dz1,3.859549021,dx1,16.73477657
table a2,12,1,,dz2 ,5.244,dx2,24.24993762
table a3,6,5,,,,,
table a4,12,0,,,,,
table a5,7,3,,,,,
table a6,9,1,,,,,
all ,62,17,,,,,
dndz,16.06405299,3.241800153,,,,,
dndz_err,2.04013677,0.34334477,,,,,
dndx,3.704859741,0.701032731,,,,,
dndx_err,0.239501173,0.170025412,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
SiIV,,,,,,,
,,,,,,,
,4.92 < z < 5.19,5.19 < z < 6.13,,,dz2 ,dx2,
table a1,0,0,,,5.244,24.24998,
table a2,0,7,,,,,
table a3,0,5,,,,,
table a4,0,0,,,,,
table a5,0,6,,,,,
table a6,0,1,,,,,
all ,0,19,,,,,
dndz,0,3.623188406,,,,,
dndz_err,0,0.831216427,,,,,
dndx,0,0.783505801,,,,,
dndx_err,0,0.179748558,,,,,
