StellarMass,SFR,X,Y,Z,id
2.52E+10,80.07828,18.409195,80.12645,63.77878,0
1.76E+10,96.150444,58.561447,86.99582,87.79354,1
2.73E+10,73.538895,4.707501,34.954815,60.81754,2
2.76E+10,113.98553,8.677184,84.138054,59.5627,3
2.37E+10,82.10165,9.5330925,73.649734,44.336647,4
3.14E+10,135.04349,54.59751,4.13574,26.713566,5
1.26E+10,54.095345,7.007489,83.54108,68.38518,6
3.34E+10,95.3575,96.21317,67.11499,48.68609,7
3.50E+10,38.017757,71.13313,24.898705,62.8948,8
8.19E+09,63.101376,63.446682,54.91687,84.424446,9
1.94E+10,30.226717,42.280956,19.243946,5.2306066,10
9.72E+09,19.548506,29.400734,73.843895,45.204163,11
1.86E+10,315.766,96.89917,60.96692,61.265327,12
1.50E+10,98.57152,92.26795,45.619633,1.2617424,13
3.09E+10,161.25058,79.46005,76.374405,16.548956,14
2.15E+10,83.81366,38.909554,36.266384,72.14064,15
1.88E+10,215.85338,53.542553,54.951946,46.50106,16
