sol,sysid,z,s5,element,rest_l,lowN,N,highN
S1306,8,4.61426,0.969994,SiII,1526.70698,4.21E+14,6.29E+14,8.09E+14
S1306,14,4.86271,0.969914,SiII,1526.70698,7.36E+14,1.32E+15,2.08E+15
S1306,15,4.8786,0.97,SiII,1526.70698,6.47E+14,8.01E+14,9.26E+14
S1306,2,2.3778,0.967,FeII,1608.45085,9.56E+12,1.89E+13,3.18E+13
S1306,3,2.53106,0.967,FeII,1608.45085,5.52E+14,7.57E+14,9.01E+14
S1306,6,4.13985,0.743,FeII,1608.45085,5.40E+13,6.26E+13,7.23E+13
S1306,8,4.6142,0.969994,FeII,1608.45085,6.11E+13,7.45E+13,8.81E+13
S1306,14,4.86234,0.969914,FeII,1608.45085,1.54E+14,1.92E+14,2.29E+14
S1306,15,4.87921,0.97,FeII,1608.45085,3.50E+14,5.10E+14,7.15E+14
S1306,6,4.13979,0.743,AlII,1670.7886,5.16E+12,6.02E+12,6.65E+12
S1306,8,4.6141,0.969994,AlII,1670.7886,1.29E+13,1.98E+13,2.64E+13
S1306,14,4.86258,0.969914,AlII,1670.7886,2.71E+13,3.21E+13,3.57E+13
S1306,15,4.87872,0.97,AlII,1670.7886,7.75E+13,1.26E+14,1.74E+14
U0148,2,2.47759,0.967,FeII,1608.45085,2.11E+14,2.55E+14,3.13E+14
U0148,3,2.72196,0.967,FeII,1608.45085,3.16E+13,4.00E+13,5.43E+13
U0148,4,3.01843,0.967,FeII,1608.45085,1.47E+14,1.90E+14,2.27E+14
U0148,7,4.45996,0.967,AlII,1670.7886,5.37E+12,6.30E+12,7.01E+12
U0148,7,4.45992,0.967,FeII,1608.45085,3.80E+13,5.26E+13,7.49E+13
U0148,10,4.89049,0.962088,SiII,1526.70698,3.97E+14,4.73E+14,6.26E+14
U0148,10,4.89054,0.962088,AlII,1670.7886,1.89E+13,2.19E+13,2.54E+13
U0148,10,4.89056,0.962088,FeII,1608.45085,2.66E+14,3.22E+14,8.45E+14
U0148,18,5.77515,0.638473,SiII,1526.70698,1.08E+12,1.72E+12,2.73E+12
S0927,16,4.60576,0.9278,AlII,1670.7886,4.80E+11,7.90E+11,4.57E+11
U1319,7,4.21626,0.552,AlII,1670.7886,3.20E+11,2.35E+12,1.20E+13
U1319,16,5.37497,0.963876,AlII,1670.7886,3.01E+11,9.26E+11,1.96E+12
U1319,18,5.57365,0.969605,AlII,1670.7886,1.05E+12,1.55E+12,2.39E+12
U1319,8,4.56848,0.765,FeII,1608.45085,2.43E+12,4.40E+12,8.34E+12
U1319,18,5.57374,0.969605,CII,1334.5323,8.41E+13,9.20E+13,1.03E+14
